month,volume_total,sucesso_72h
2020-07,20,4
2020-08,26,6
2020-09,14,1
2020-10,14,4
2020-11,14,4
2020-12,12,6
2021-01,33,17
2021-02,32,15
2021-03,29,8
2021-04,26,15
2021-05,33,10
2021-06,31,4
2021-07,44,1
2021-08,72,6
2021-09,56,2
2021-10,49,1
2021-11,56,2
2021-12,44,4
2022-01,68,2
2022-02,83,2
2022-03,87,0
2022-04,67,3
2022-05,69,9
2022-06,75,16
2022-07,80,29
2022-08,70,35
2022-09,67,23
2022-10,44,23
2022-11,65,27
2022-12,58,34
2023-01,89,43
2023-02,76,31
2023-03,90,37
2023-04,78,33
2023-05,100,45
2023-06,93,42
2023-07,108,41
2023-08,132,62
2023-09,85,59
2023-10,102,46
2023-11,119,32
2023-12,65,30
2024-01,130,59
2024-02,121,52
2024-03,113,47
2024-04,143,44
2024-05,121,26
2024-06,153,14
2024-07,174,10
2024-08,192,23
2024-09,154,15
2024-10,127,31
2024-11,147,73
2024-12,139,49
2025-01,228,20
2025-02,192,13
2025-03,144,33
2025-04,228,17
2025-05,288,4
2025-06,211,8
